title,brand,image_url,priced_before,discount_percent,current_price,size
Jaipuri Handblock Print Pure Chanderi Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hf2/h06/17031609778206/-286Wx359H-460517736-multi-MODEL.jpg,5999,65% off,2100,[FS]
Handblock Chuna Patri Print Pure Chanderi Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/heb/hc1/15342607597598/-286Wx359H-460516224-black-MODEL.jpg,4999,70% off,1500,[FS]
Handloom Bengal Cotton Silk Zari Border Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h4e/h31/15519992315934/-286Wx359H-460542876-pink-MODEL.jpg,2499,NA,2499,[FS]
South Cotton Chettinad Border Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h47/ha0/15416884428830/-286Wx359H-460555102-pink-MODEL.jpg,1999,70% off,600,[FS]
Hand Embroidered Cotton Slub Straight Kurta,Indie Picks,https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef386907cdb8c721b724be5/-286Wx359H-460604275-green-MODEL.jpg,1999,40% off,1199,[S-M-L-XL]
Handblock Print Pipar Pure Chanderi Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h75/he5/15084613795870/-286Wx359H-460431806-black-OUTFIT.jpg,4999,72% off,1400,[FS]
Banarasi Heavy Silk Kataan Brocade Saree,Banarasi Silk Works,https://assets.ajio.com/medias/sys_master/root/h98/h2b/13426769002526/-286Wx359H-460366459-pink-OUTFIT.jpg,6159,65% off,2156,[FS]
Handblock Print Contrast Pallu Saree with Mirrowork,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h69/hef/16048502702110/-286Wx359H-460532011-grey-MODEL.jpg,2499,60% off,1000,[FS]
Handloom Bengal Cotton Silk Zari Border Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h34/h76/15519931957278/-286Wx359H-460542872-white-MODEL.jpg,2499,50% off,1250,[FS]
South Silk Checked Saree with Ornate Pallu,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h02/hbc/15773512990750/-286Wx359H-460553241-green-MODEL.jpg,2999,50% off,1500,[FS]
South Cotton Checked Dupatta,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h62/ha6/15882697474078/-286Wx359H-460601112-multi-MODEL.jpg,499,65% off,175,[FS]
Kerala Kasavu Cotton Saree with Zari Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h3b/hfc/15552449151006/-286Wx359H-460553087-white-MODEL.jpg,2999,70% off,900,[FS]
Handblock Print Cotton Kalamkari Culottes,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h6e/ha5/15506532401182/-286Wx359H-460501066-yellow-MODEL.jpg,2799,70% off,840,[XS-S-M-L-XL]
South Cotton Striped Dress Material with Contrast Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hd9/h1c/15774592237598/-286Wx359H-460577236-multi-MODEL.jpg,799,60% off,320,[FS]
Pochampally Woven Ikat Cotton Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h26/h2c/17106812469278/-286Wx359H-460624279-blue-MODEL.jpg,5999,50% off,3000,[FS]
Floral Print Cotton Slub Angrakha Kurta,Indie Picks Essentials,https://assets.ajio.com/medias/sys_master/root/hb6/h7c/13554965413918/-286Wx359H-460306378-lightpink-MODEL.jpg,2299,60% off,920,[XS-S-M-L-XL]
Handloom Mangrol Pure Kota Doria Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h29/h16/13688829411358/-286Wx359H-460305909-pink-OUTFIT.jpg,6999,72% off,1960,[FS]
Kerala Kasavu Cotton Saree with Zari Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/he0/h5a/15550386995230/-286Wx359H-460553059-white-MODEL.jpg,2499,70% off,750,[FS]
South Cotton Chettinad Border Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hc1/he0/16587318853662/-286Wx359H-460555200-green-MODEL.jpg,1999,65% off,700,[FS]
Kerala Kasavu Cotton Saree with Zari Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h8a/h1e/15234369224734/-286Wx359H-460551706-white-MODEL.jpg,2499,60% off,1000,[FS]
South Cotton 3 -piece Dress Material,Indie Picks,https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f0f5765aeb26931758849c7/-286Wx359H-460577619-blue-MODEL.jpg,1499,50% off,750,NA
Pochampally Woven Ikat Cotton Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h23/h9b/16908322635806/-286Wx359H-460624231-green-MODEL.jpg,5999,50% off,3000,[FS]
Mina Zari Buti Kota Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/ha3/he2/15967235801118/-286Wx359H-460567474-maroon-MODEL.jpg,3999,65% off,1400,[FS]
Hand-Embroidered Straight Kurta,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h6e/h4f/14400232325150/-286Wx359H-460486052-teal-MODEL.jpg,3499,72% off,980,[S-M-L-XL-XXL]
Woven Ikat Saree with Zari Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hf6/hb0/15606433185822/-286Wx359H-460555266-multi-MODEL.jpg,2999,70% off,900,[FS]
Handblock Print Bagru Pure Chanderi Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h05/hcd/15424799473694/-286Wx359H-460487673-blue-MODEL.jpg,7999,70% off,2400,[FS]
Handblock Print Contrast Pallu Saree with Mirrowork,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h48/h8d/16048451682334/-286Wx359H-460532001-pink-MODEL.jpg,2499,65% off,875,[FS]
Handblock Print Contrast Pallu Saree with Mirrowork,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hc6/h3e/16048460693534/-286Wx359H-460532003-green-MODEL.jpg,2499,60% off,1000,[FS]
Jaipuri Print Cotton Pants,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h03/he4/15750305316894/-286Wx359H-460553679-maroon-MODEL.jpg,1499,60% off,600,[XS-S-M-L-XL]
Handloom Bengal Cotton Silk Jamdani Buti Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/ha2/h32/15520006668318/-286Wx359H-460542894-yellow-MODEL.jpg,2999,60% off,1200,[FS]
Kutch Handblock Print Ajrak Modal Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h16/hf6/15563311579166/-286Wx359H-460477578-beige-MODEL.jpg,9999,70% off,3000,[FS]
Handblock Print Jaipur Pure Chanderi Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h77/h95/15342654128158/-286Wx359H-460516247-multi-MODEL.jpg,4999,70% off,1500,[FS]
Floral Print Cotton Slub Angrakha Kurta,Indie Picks Essentials,https://assets.ajio.com/medias/sys_master/root/hd5/hd0/13554959187998/-286Wx359H-460306379-yellow-MODEL.jpg,2299,40% off,1379,NA
Handloom Bengal Tant Tangail Cotton Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h41/ha1/15990942892062/-286Wx359H-460518596-brown-MODEL.jpg,2499,60% off,1000,[FS]
Floral Print Cotton Slub Straight Kurta,Indie Picks Essentials,https://assets.ajio.com/medias/sys_master/root/h95/hba/13393640292382/-286Wx359H-460306365-green-MODEL.jpg,1599,65% off,560,[M-L]
Banarasi Heavy Silk Kataan Brocade Saree,Banarasi Silk Works,https://assets.ajio.com/medias/sys_master/root/he0/hd9/13392523690014/-286Wx359H-460366457-blue-OUTFIT.jpg,6189,65% off,2166,[FS]
Cotton Handloom Bengal Dhakai Jamdani Buti Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hbb/h19/15880048443422/-286Wx359H-460543848-magenta-MODEL.jpg,2499,65% off,875,[FS]
Handblock Printed Handloom Mangalgiri Cotton Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/ha4/h61/15649820049438/-286Wx359H-460560223-peach-MODEL.jpg,7999,70% off,2400,[FS]
Hand-Embroidered South Cotton Straight Kurta,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h09/hf5/14300268691486/-286Wx359H-460406025-peach-MODEL.jpg,2599,75% off,650,[S-M-L-XL-XXL]
Kasavu Soft Mina Panel Buta Cotton Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hba/h73/13607225917470/-286Wx359H-460421671-white-OUTFIT.jpg,2999,77% off,690,[FS]
Handloom Cotton Bengal Dhakai Jamdani Buti Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/ha7/h09/15906906275870/-286Wx359H-460543843-white-MODEL.jpg,2499,65% off,875,[FS]
Patri Print Chanderi Saree with Ghicha Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hbc/h28/14965125349406/-286Wx359H-460471456-black-OUTFIT.jpg,5999,72% off,1680,[FS]
Handloom Bhagalpur Pure Silk Tussar Dupion Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hd6/h44/15954638307358/-286Wx359H-460488115-green-MODEL.jpg,9999,60% off,4000,[FS]
South Silk Saree with Ornate Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hf3/h4b/16587227889694/-286Wx359H-460555264-purple-MODEL.jpg,1499,65% off,525,[FS]
South Cotton Checked Dupatta with Zari Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hb3/hb2/15882771595294/-286Wx359H-460601121-beige-MODEL.jpg,499,60% off,200,[FS]
Handloom Mangalgiri Cotton 3-piece Dress Material,Indie Picks,https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15e66ef997dd433b506539/-286Wx359H-460634516-purple-MODEL.jpg,3999,50% off,2000,NA
Kerala Cotton Mundu with Contrast Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/20200818/jIpA/5f3ad27eaeb2693e046a2bce/-286Wx359H-460696069-offwhite-MODEL.jpg,1199,30% off,839,NA
South Cotton Textured Dress Material,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hb2/h0e/16743329234974/-286Wx359H-460577355-grey-MODEL.jpg,799,60% off,320,[FS]
Hand-Embroidered Satna Straight Kurta with Mirror Work,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hc3/h7f/15664744497182/-286Wx359H-460559691-navyblue-MODEL.jpg,2999,70% off,900,[XS-S-M-L-XL]
South Cotton Checked Dupatta,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hee/hef/15882446733342/-286Wx359H-460601127-green-MODEL.jpg,499,60% off,200,[FS]
Ikat-Woven Pochampally Cotton Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h53/h39/16997858017310/-286Wx359H-460624458-green-MODEL.jpg,4999,50% off,2500,[FS]
Kalamkari Print Tie & Dye Saree with Zari Border,Sun Kalamkari,https://assets.ajio.com/medias/sys_master/root/had/hf5/13031005028382/-286Wx359H-460300625-multi-OUTFIT.jpg,2499,30% off,1749,[FS]
Hand-Crafted Embroidered Leather Chappal,Indie Picks,https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5f15ea70f997dd433b508088/-286Wx359H-460568288-multi-MODEL.jpg,999,40% off,599,NA
Kerala Kasavu Cotton 3-Piece Dress Material,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h19/h2f/15164526231582/-286Wx359H-460551832-white-MODEL.jpg,1999,70% off,600,[FS]
Checked Buta Saree with Zari Tissue Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hb7/h0a/14423826104350/-286Wx359H-460454906-maroon-OUTFIT.jpg,2999,72% off,840,[FS]
Kerala Kasavu Cotton 3-piece Dress Material,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h49/hfc/15203943055390/-286Wx359H-460551827-white-MODEL.jpg,1999,70% off,600,[FS]
Kerala Kasavu Saree with Contrast Zari Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h86/hbe/15234253422622/-286Wx359H-460551713-white-MODEL.jpg,2499,70% off,750,[FS]
South Cotton Saree with Zari Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h7d/h21/15575650271262/-286Wx359H-460527216-maroon-MODEL.jpg,1999,70% off,600,[FS]
South Cotton Chettinad Border Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h05/h3f/16587309973534/-286Wx359H-460555178-green-MODEL.jpg,1999,60% off,800,[FS]
Handloom Bengal Jamdani Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h45/h5c/15172354703390/-286Wx359H-460542694-green-MODEL.jpg,7999,70% off,2400,[FS]
Handloom Mangrol Pure Kota Doria Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hc9/hca/14730243735582/-286Wx359H-460305914-multi-OUTFIT.jpg,7999,72% off,2240,[FS]
South Silk Zari Buta Saree with Ornate Pallu,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h57/h23/15813419401246/-286Wx359H-460553199-green-MODEL.jpg,2999,60% off,1200,[FS]
Ikat-Woven Pochampally Cotton Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/haa/h93/16997858869278/-286Wx359H-460624462-blue-MODEL.jpg,4999,50% off,2500,[FS]
Embroidered South Cotton Sleeveless Jacket,Indie Picks by AJIO,https://assets.ajio.com/medias/sys_master/root/h88/h53/14348232228894/-286Wx359H-460356804-mustard-MODEL.jpg,1999,72% off,560,[XS-S-M-L-XL]
Floral Print Cotton Slub Straight Kurta,Indie Picks Essentials,https://assets.ajio.com/medias/sys_master/root/hb4/ha4/13519623290910/-286Wx359H-460306352-grey-MODEL.jpg,1799,40% off,1079,NA
Kerala Kasavu Cotton Saree with Jacquard Mina Pallu,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h99/heb/15680892895262/-286Wx359H-460547304-white-MODEL.jpg,2499,60% off,1000,[FS]
South Cotton Straight Kurta,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h1e/ha4/15635508363294/-286Wx359H-460570489-orange-MODEL.jpg,1499,70% off,450,[XS-S-M-L-XL]
Hand Embroidered Cotton Slub Straight Kurta,Indie Picks,https://assets.ajio.com/medias/sys_master/root/ajio/catalog/5ef360da481085a2e2641f70/-286Wx359H-460604274-fuschia-MODEL.jpg,1999,50% off,1000,[S-M-L-XL]
Checked South Cotton Saree with Zari Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hef/h0c/15575476961310/-286Wx359H-460527168-green-MODEL.jpg,1999,60% off,800,[FS]
Handblock Print Saree with Contrast Pallu,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h47/hb6/16048707960862/-286Wx359H-460531977-maroon-MODEL.jpg,1999,60% off,800,[FS]
Shibori Tie & Dye Pure Chanderi Dupatta,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h06/hd9/16743140032542/-286Wx359H-460559226-indigo-MODEL.jpg,2499,60% off,1000,[FS]
Pintuck Lambani Hand-Embroidered High-Low Shift Dress,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h9f/h65/15263348490270/-286Wx359H-460547288-white-MODEL.jpg,3299,70% off,990,[XS-S-M-L-XL]
Cotton Handloom Bengal Dhakai Jamdani Buti Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h4a/h36/15880051195934/-286Wx359H-460543850-grey-MODEL.jpg,2499,60% off,1000,[FS]
Handblock Print Cotton Kalamkari Culottes,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h70/h1b/15506533711902/-286Wx359H-460501067-orange-MODEL.jpg,2799,70% off,840,[XS-S-M-L-XL]
Ikat-Woven Pochampally Cotton Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h3a/h6c/16997836521502/-286Wx359H-460624442-black-MODEL.jpg,5999,50% off,3000,[FS]
South Silk Saree with Zari Pallu,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hcd/h26/15606194634782/-286Wx359H-460547331-red-MODEL.jpg,1999,70% off,600,[FS]
Bagru Handblock Print Kota Silk Cotton Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h84/h40/15875276636190/-286Wx359H-460471514-orange-MODEL.jpg,2999,65% off,1050,[FS]
Woven Ikat Saree with Zari Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h6a/h28/15416822661150/-286Wx359H-460555279-multi-MODEL.jpg,2999,70% off,900,[FS]
Pochampally Woven Ikat Cotton Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h6d/h97/17106813845534/-286Wx359H-460624281-grey-MODEL.jpg,5999,50% off,3000,[FS]
Hand Batik Print Saree with Contrast Border,Sun Kalamkari,https://assets.ajio.com/medias/sys_master/root/he8/h31/12530555093022/-286Wx359H-460300778-multi-OUTFIT.jpg,2299,30% off,1609,[FS]
Hand-Embroidered Satna Straight Kurta with Mirror Work,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h96/h0d/15663525462046/-286Wx359H-460559695-blue-MODEL.jpg,2799,60% off,1120,[XS-S-M-L-XL]
Pochampally Woven Ikat Cotton Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h21/hdd/16908450791454/-286Wx359H-460624266-blue-MODEL.jpg,5999,50% off,3000,[FS]
Handblock Printed Cotton Kalamkari A-line Kurta,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h56/h77/15647120097310/-286Wx359H-460501042-black-MODEL.jpg,3199,60% off,1280,[XS-S-M-L-XL]
South Silk Saree with Zari Woven Pallu,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h14/h9e/15606104522782/-286Wx359H-460547372-green-MODEL.jpg,2999,70% off,900,[FS]
South Silk Saree with Zari Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/ha1/h51/16048402497566/-286Wx359H-460531959-magenta-MODEL.jpg,1499,60% off,600,[FS]
South Cotton Chettinad Border Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h2e/h7c/15416961597470/-286Wx359H-460555143-purple-MODEL.jpg,1999,70% off,600,[FS]
South Cotton Chettinad Border Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hbe/h7b/15416942985246/-286Wx359H-460555140-green-MODEL.jpg,1999,70% off,600,[FS]
Handloom Bengal Tant Tangail Cotton Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hd3/h54/16671877595166/-286Wx359H-460612139-orange-MODEL.jpg,1999,65% off,700,[FS]
Handblock Print Ajrak Bandhani Pure Chanderi Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hf6/h04/15564229935134/-286Wx359H-460479619-green-MODEL.jpg,11999,70% off,3600,[FS]
South Silk Saree with Zari Pallu,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h1b/h82/15606204989470/-286Wx359H-460547339-maroon-MODEL.jpg,1999,60% off,800,[FS]
Handblock Print Ajrak Cotton A-line Dress,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hd1/h37/15635041943582/-286Wx359H-460554582-multi-MODEL.jpg,2199,70% off,660,[XS-S-M-L-XL]
Hand Shibori Cotton Straight Kurta,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h5e/h66/14136456839198/-286Wx359H-460446242-red-MODEL.jpg,3999,75% off,1000,[M-L-XL]
South Cotton Saree with Chettinad Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hd9/hd5/16587331207198/-286Wx359H-460555214-blue-MODEL.jpg,1999,60% off,800,[FS]
Bagru Handblock Print Chanderi Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/he0/hc4/14966323544094/-286Wx359H-460471487-indigo-OUTFIT.jpg,5999,70% off,1800,[FS]
Cotton Flex Schiffly Embroidered Straight Pants,Indie Picks,https://assets.ajio.com/medias/sys_master/root/20200725/R1Np/5f1c4bf77cdb8c2207858ff7/-286Wx359H-460604063-white-MODEL.jpg,1799,30% off,1259,NA
Handblock Print Bagh Cotton Saree with Woven Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h11/haa/17061588107294/-286Wx359H-460483175-white-MODEL.jpg,3499,60% off,1400,[FS]
Patri Printed Chanderi Saree with Ghicha Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h73/h24/14961828331550/-286Wx359H-460471454-black-OUTFIT.jpg,5999,72% off,1680,[FS]
Bengal Handloom Pure Tussar Silk Jamdani Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h69/h6a/15879799996446/-286Wx359H-460542466-green-MODEL.jpg,14999,65% off,5250,[FS]
Nima South Cotton Slub Shirt,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h53/h52/15330044182558/-286Wx359H-460554835-orange-MODEL.jpg,1399,70% off,420,[S-M-L-XL-XXL]
South Cotton Thread Buta Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h37/h02/16674157395998/-286Wx359H-460555542-yellow-MODEL.jpg,3499,60% off,1400,[FS]
Kasuti Embroidered South Silk Saree with Contrast Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hed/h5d/14077012115486/-286Wx359H-460413066-maroon-OUTFIT.jpg,2999,72% off,840,[FS]
Handblock Print Saree with Contrast Pallu,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h4f/hd2/16048646619166/-286Wx359H-460531990-purple-MODEL.jpg,1999,65% off,700,[FS]
Kerala Kasavu Cotton Saree with Zari Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h8b/h78/15520249380894/-286Wx359H-460552951-white-MODEL.jpg,2999,70% off,900,[FS]
Dip-Dyed Sungudi Cotton Saree with Brocade Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h3f/hc5/17032803713054/-286Wx359H-460553331-green-MODEL.jpg,1999,50% off,1000,[FS]
Banarasi Heavy Silk Kataan Leheriya Brocade Saree,Banarasi Silk Works,https://assets.ajio.com/medias/sys_master/root/h38/ha8/13392466477086/-286Wx359H-460366468-blue-OUTFIT.jpg,11339,65% off,3969,[FS]
South Cotton Textured Saree with Zari Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hd0/he6/16671219351582/-286Wx359H-460554946-khaki-MODEL.jpg,999,65% off,350,[FS]
Checked Short Kurta with Patch Pocket,VIVID INDIA,https://assets.ajio.com/medias/sys_master/root/h89/h4d/16496262873118/-286Wx359H-460568331-white-MODEL.jpg,1299,30% off,909,[M-L-XL]
Bengal Handloom Pure Silk Tussar Jamdani Saree,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h12/h61/15879800651806/-286Wx359H-460542465-blue-MODEL.jpg,14999,65% off,5250,[FS]
Handblock Ajrak Print Cotton Hand-Embroidered A-line Kurta,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hc5/hf6/15415955816478/-286Wx359H-460539506-black-MODEL.jpg,3499,70% off,1050,[XS-S-M-L-XL]
Kerala Kasavu Cotton Saree with Zari Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/hbc/hc4/15507289505822/-286Wx359H-460553090-white-MODEL.jpg,2999,70% off,900,[FS]
Ikat Print Cotton A-line Dress,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h05/h02/15908874125342/-286Wx359H-460604962-yellow-MODEL.jpg,1999,60% off,800,[S-M-L-XL-XXL]
Kerala Kasavu Cotton Saree with Zari Border,Indie Picks,https://assets.ajio.com/medias/sys_master/root/h6b/h0a/15258722041886/-286Wx359H-460551727-white-MODEL.jpg,2499,60% off,1000,[FS]
