title,brand,image_url,priced_before,discount_percent,current_price,size
Lightly Washed Ankle-Length Skinny Jeans,RIO,https://assets.ajio.com/medias/sys_master/root/h46/h19/14850603057182/-286Wx359H-441024704-blue-MODEL.jpg,999,49% off,509,[26-28-30-32-34]
Typographic Print Crew-Neck T-shirt,DNMX,https://assets.ajio.com/medias/sys_master/root/hf3/h8e/15235228925982/-286Wx359H-441052300-pink-MODEL.jpg,299,20% off,239,[XS-S-M-L]
Culottes with Semi-Elasticated Tie-Up Waistline,FIG,https://assets.ajio.com/medias/sys_master/root/h41/h64/14510962442270/-286Wx359H-441024898-black-MODEL.jpg,799,49% off,407,[XS-M-L-XXL]
Checked Slim Fit Shirt with Patch Pocket,NETPLAY,https://assets.ajio.com/medias/sys_master/root/h49/hf1/15684158914590/-286Wx359H-441036973-lightyellow-MODEL.jpg,999,40% off,599,[S-M-L-XL-XXL]
Floral Embroidered Flared Kurta,AVAASA MIX N' MATCH,https://assets.ajio.com/medias/sys_master/root/h60/h3a/14626668642334/-286Wx359H-441023397-lime-MODEL.jpg,1499,49% off,764,[XS-S-M-L-XL]
Crew-Neck Top with Drawstring Hemline,RIO,https://assets.ajio.com/medias/sys_master/root/hf2/hcb/14612412956702/-286Wx359H-441024099-yellow-MODEL.jpg,499,49% off,254,[S-M-L]
Track Pants with Contrast Side Taping,Teamspirit,https://assets.ajio.com/medias/sys_master/root/h0d/h26/16496512892958/-286Wx359H-441001504-black-MODEL.jpg,499,10% off,449,[S-M-XL-XXL]
Printed Tiered A-line Midi Dress,FUSION,https://assets.ajio.com/medias/sys_master/root/h1a/he4/14626438971422/-286Wx359H-441024731-coral-MODEL.jpg,1499,49% off,764,[S-L-XL-XXL]
Washed Push-Up Jeans,DNMX,https://assets.ajio.com/medias/sys_master/root/hfb/h99/15353278562334/-286Wx359H-441033870-mediumblue-MODEL.jpg,1299,40% off,779,[26-34]
Camouflage Print Trousers with Drawstring,YB DNMX,https://assets.ajio.com/medias/sys_master/root/h85/h85/14739803275294/-286Wx359H-441032374-ecru-MODEL.jpg,849,49% off,433,[7-8Y-9-10Y-11-12Y-13-14Y-15-16Y]
Printed Asymmetric Kurta with Detachable Belt,FUSION,https://assets.ajio.com/medias/sys_master/root/ha3/hbf/14758469959710/-286Wx359H-441024208-offwhite-MODEL.jpg,1299,49% off,662,[S-M-L-XXL]
Floral Print Button-Down Straight Kurta,AVAASA MIX N' MATCH,https://assets.ajio.com/medias/sys_master/root/h91/h64/14492188868638/-286Wx359H-441023509-ltpeach-MODEL.jpg,799,49% off,407,[XS-S-M-L-XL]
Mid-Rise Treggings with Contrast Taping,RIO,https://assets.ajio.com/medias/sys_master/root/hf9/h0f/13695741427742/-286Wx359H-441006021-black-MODEL.jpg,999,51% off,490,[XS-S-M-L-XL]
Striped Top with High-Low Hemline,DNMX,https://assets.ajio.com/medias/sys_master/root/h8d/h73/15848790687774/-286Wx359H-441034862-coral-MODEL.jpg,699,49% off,356,[XS-S-M-L-XL]
Printed Top with Ruffled Sleeves,FIG,https://assets.ajio.com/medias/sys_master/root/h34/h20/15164550479902/-286Wx359H-441050784-mustard-MODEL.jpg,399,40% off,239,[XS-S-M-L-XL-XXL]
Floral Print High-Low Straight Kurta,AVAASA MIX N' MATCH,https://assets.ajio.com/medias/sys_master/root/h22/ha5/12397161152542/-286Wx359H-440957323-navy-MODEL.jpg,499,51% off,245,[XS-S-M-L-XL-XXL]
Checked A-line Kurta with Asymmetrical Hemline,AVAASA MIX N' MATCH,https://assets.ajio.com/medias/sys_master/root/h63/hd7/14564814422046/-286Wx359H-441023425-coral-MODEL.jpg,899,49% off,458,[XS-S-M-L-XL-XXL]
Mid-Rise Joggers with Contrast Stripes,Teamspirit,https://assets.ajio.com/medias/sys_master/root/hac/h49/12574556225566/-286Wx359H-440781271-navy-OUTFIT.jpg,599,51% off,294,[S-M-L-XL-XXL]
Embroidered Straight Kurta & Pant Set,Jaipur Kurti,https://assets.ajio.com/medias/sys_master/root/h1a/h34/16397978075166/-286Wx359H-460539885-yellow-MODEL.jpg,2799,54% off,1288,[S-M-XXL-3XL]
Floral Print Straight Kurti with Band Collar,FUSION,https://assets.ajio.com/medias/sys_master/root/h2b/h82/14563088203806/-286Wx359H-441033913-red-MODEL.jpg,499,45% off,274,[XS-S-M-L-XL-XXL]
